EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,
SKU,Detailed Description,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),End of Sale,End of Life,EOS Replacement SKU,Support Available
BPS-HC0-D25A4G-SW-TM,"Monthly GigaVUE-OS term license for BPS-HC0-D25A4G-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,BPS-HC1-D25A60-SW-TM,TRUE
BPS-HC0-D25B4G-SW-TM,"Monthly GigaVUE-OS term license for BPS-HC0-D25B4G-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,,TRUE
BPS-HC0-D35C4G-SW-TM,"Monthly GigaVUE-OS term license for BPS-HC0-D35C4G-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,BPS-HC1-D25A60-SW-TM,TRUE
BPS-HC0-Q25A28-SW-TM,"Monthly GigaVUE-OS term license for BPS-HC0-Q25A28-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,BPS-HC3-C25F2G-SW-TM,TRUE
BPS-HC1-D25A24,"Bypass Combo Module, GigaVUE-HC1-Plus/HC1/HCT, 2 SX/SR 50/125 BPS pairs, 4 10G SFP+ cages.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
BPS-HC1-D25A24-HW,"Bypass Combo Module, GigaVUE-HC1-Plus/HC1/HCT, 2 SX/SR 50/125 BPS pairs, 4 10G SFP+ cages. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
BPS-HC1-D25A24-SW-TM,Monthly GigaVUE-OS term license for BPS-HC1-D25A24-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
BPS-HC1-D25A60,"Bypass Module, GigaVUE-HC1-Plus/HC1/HCT, 6 1/10G SX/SR 50/125 BPS pairs",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
BPS-HC1-D25A60-HW,"Bypass Module, GigaVUE-HC1-Plus/HC1/HCT, 6 1/10G SX/SR 50/125 BPS pairs. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
BPS-HC1-D25A60-SW-TM,Monthly GigaVUE-OS term license for BPS-HC1-D25A60-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1-Plus,United States,,,,TRUE
